MM,NONE,BF16,1,1200,80,600,RC
MM,NONE,BF16,1,1200,80,600,RR
ADDMM,VECTOR,BF16,1,360,400,80,RR
ADDMM,VECTOR,BF16,1,360,400,80,CC
ADDMM,MATRIX,BF16,1,360,400,80,RR
ADDMM,MATRIX,BF16,1,360,400,80,CR
BMM,NONE,BF16,100,3600,4000,80,RR
BADDBMM,VECTOR,BF16,100,3600,4000,80,RR
BADDBMM,BATCHED_VECTOR,BF16,100,3600,4000,80,RR
BADDBMM,MATRIX,BF16,100,3600,4000,80,RR
BADDBMM,BATCHED_MATRIX,BF16,100,3600,4000,80,RR
MM,NONE,BF16,1,1200,80,600,RC
MM,NONE,BF16,1,1200,80,600,RR
ADDMM,VECTOR,BF16,1,360,400,8,RR
ADDMM,VECTOR,BF16,1,360,400,8,CC
ADDMM,MATRIX,BF16,1,360,400,8,RR
ADDMM,MATRIX,BF16,1,360,400,8,CR
BMM,NONE,BF16,100,3600,4000,8,RR
BADDBMM,VECTOR,BF16,100,3600,4000,8,RR
BADDBMM,BATCHED_VECTOR,BF16,100,3600,4000,8,RR
BADDBMM,MATRIX,BF16,100,3600,4000,8,RR
BADDBMM,BATCHED_MATRIX,BF16,100,3600,4000,8,RR
MM,NONE,TF32,1,1200,80,600,RC
MM,NONE,TF32,1,1200,80,600,RR
ADDMM,VECTOR,TF32,1,360,400,8,RR
ADDMM,VECTOR,TF32,1,360,400,8,CC
ADDMM,MATRIX,TF32,1,360,400,8,RR
ADDMM,MATRIX,TF32,1,360,400,8,CR
BMM,NONE,TF32,100,3600,4000,8,RR
BADDBMM,VECTOR,TF32,100,3600,4000,8,RR
BADDBMM,BATCHED_VECTOR,TF32,100,3600,4000,8,RR
BADDBMM,MATRIX,TF32,100,3600,4000,8,RR
BADDBMM,BATCHED_MATRIX,TF32,100,3600,4000,8,RR
BADDBMM,BATCHED_MATRIX,TF32,100,3601,4000,8,RR
